building_name,address,square_feet,building_age,building_type,energy_consumption_kbtu
MAYFLOWER PARK HOTEL,405 OLIVE WAY,88434,99,Hotel,7113958.0
PARAMOUNT HOTEL,724 PINE ST,103566,30,Hotel,6330664.0
HOTEL MAX,620 STEWART ST,61320,100,Hotel,5273981.0
WARWICK SEATTLE HOTEL,401 LENORA ST,175580,46,Hotel,11983959.0
WEST PRECINCT (SEATTLE POLICE),810 VIRGINIA ST,97288,27,Other,8515194.0
CAMLIN WORLDMARK HOTEL,1619 9TH AVE,83008,100,Hotel,8676845.0
PARAMOUNT THEATRE,901 PINE ST,102761,100,Other,8510394.0
COURTYARD BY MARRIOTT - PIONEER SQ,612 2ND AVE,163984,122,Hotel,14715816.0
LYON BUILDING,607 3RD AVE,63712,116,Other,3194788.0
HOTEL MONACO,1101 4TH AVE,153163,57,Hotel,10565442.0
W SEATTLE HOTEL,1112 4TH AVE,333176,28,Hotel,25207774.0
EXECUTIVE HOTEL PACIFIC,400 SPRING ST,65009,98,Hotel,4707694.0
CROWNE PLAZA,1113 6TH AVE,353111,46,Hotel,15684455.0
HOTEL VINTAGE PARK,1100 5TH AVE,67390,104,Hotel,4462021.0
CENTRAL - SEATTLE PUBLIC LIBRARY,1000 4TH AVE,412000,22,Other,13818198.0
DOWNTOWN SEATTLE YMCA,909 4TH AVE,103911,96,Other,5085859.0
RENAISSANCE MADISON HOTEL,515 MADISON ST,460902,43,Hotel,28976404.0
RAINIER CLUB (HISTORICAL LANDMARK),810 4TH AVE,57452,119,Other,6834993.0
ARCTIC CLUB HOTEL - SEATTLE,700 3RD AVE,104352,110,Hotel,8722299.0
KING COUNTY COURTHOUSE,516 3RD AVE,540360,110,Other,50227788.0
KING COUNTY CORRECTIONAL FACILITY,500 5TH AVE,385274,41,Other,39738460.0
GRAHAM HILL ELEMENTARY SCHOOL (SPS-DISTRICT),5101 S GRAHAM ST,56228,65,School,1625718.0
WATERTOWN HOTEL,4242 ROOSEVELT WAY NE,88592,25,Hotel,3610078.0
CORNISH (Main Campus Center),1000 LENORA ST,126593,98,Other,8797906.0
SPRINGHILL SUITES SEATTLE DOWNTOWN,1800 YALE AVE,171866,25,Hotel,8302082.0
MEANY MIDDLE SCHOOL (SPS-DISTRICT),300 20TH AVE E,126351,71,School,4785164.0
HOTEL FIVE,2200 5TH AVE,68410,48,Hotel,3390906.0
JANE ADDAMS MIDDLE (SPS-DISTRICT),11031 34TH AVE NE,160645,77,School,7020056.0
JOHN HAY ELEMENTARY SCHOOL (SPS-DISTRICT),201 GARFIELD ST,51582,37,School,1373992.0
GOOD SHEPHERD CENTER,4649 SUNNYSIDE AVE N,87262,120,Office,4146749.0
SILVER CLOUD INN UNIVERSITY,5036 25TH AVE NE,81871,32,Hotel,5320308.0
2746 NE 45TH ST - PUBLIC STORAGE,2746 NE 45TH ST,26225,71,Warehouse,216227.0
LAWTON ELEMENTARY SCHOOL (SPS-DISTRICT),4017 26TH AVE W,54986,36,School,1715797.0
ECKSTEIN MIDDLE (SPS-DISTRICT),3003 NE 75TH ST,175565,76,School,6779131.0
EL CENTRO DE LA RAZA,2524 16TH AVE S,52554,126,Office,2477294.0
BLANCHET HIGH SCHOOL,8200 WALLINGFORD AVE N,175015,72,School,8684954.0
VINE ST MINI STORAGE,11 VINE ST,70586,115,Warehouse,1265440.0
Coast Seattle Downtown Hotel by APA,1301 6TH AVE,126240,57,Hotel,12269666.0
5TH & PINE,1513 5TH AVE,88717,53,Office,5126680.0
CENTURY SQUARE RETAIL,1525 4TH AVE,57428,106,Other,945387.0
GIBRALTAR TOWER,1518 3RD AVE,59400,116,Office,1419809.0
MANN BUILDING/WILD GINGER/TRIPLE DOOR,1401 3RD AVE,64597,100,Other,10571392.0
PALIHOTEL,107 PINE ST,50510,126,Hotel,4806724.0
HOTEL THEODORE (ROOSEVELT),1531 7TH AVE,98634,96,Hotel,7883218.0
INN AT THE MARKET,86 PINE ST,71150,41,Hotel,5869980.0
MOORE HOTEL & THEATRE,1926 2ND AVE,122810,118,Hotel,3574054.0
HOLIDAY INN - SEATTLE,211 DEXTER AVE N,150453,26,Hotel,6203145.0
FAIRFIELD INN,226 7TH AVE N,116300,29,Hotel,4666302.0
